explained_log_gdp_per_capita,explained_social_support,explained_healthy_life_expectancy,explained_freedom,explained_generosity,explained_corruption
2.2,1.357,0.549,0.71,0.149,0.418
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.21646368503571,1.40325677394867,1.00805294513702,0.42069947719574,0.266861796379089,0.09989845007658
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.122,0.087,0.409,0.816,0.086,0.243
1.397,0.865,0.735,0.545,0.09,0.037
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
0.853383600711823,1.22102761268616,0.838837742805481,0.555234551429749,0.115006476640701,0.0867533832788467
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.23053526878357,1.4210991859436,1.05134308338165,0.425983816385269,0.165305480360985,0.109579779207706
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.55,1.277,0.409,0.981,0.053,0.037
1.76,1.078,0.777,0.655,0.016,0.039
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.592,1.102,0.662,0.555,0.081,0.085
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.823,1.544,0.477,0.693,0.158,0.05
0.592,0.902,0.242,0.477,0.175,0.111
0.588,0.938,0.341,0.292,0.131,0.118
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.281,0.953,0.324,0.351,0.134,0.038
1.353,0.245,0.672,1.078,0.111,0.087
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
0.847198069095612,0.731193900108337,0.694657623767853,0.48549410700798,0.0476097352802753,0.174088075757027
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.909,1.184,0.857,0.485,0.147,0.402
1.939,1.392,0.542,0.586,0.223,0.169
0.537094414234161,0.799727261066437,0.154942512512207,0.397122532129288,0.169915586709976,0.0934957936406136
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.707,0.865,0.702,0.209,0.087,0.115
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.328,1.472,0.472,0.689,0.245,0.023
1.8,1.328,0.72,0.513,0.112,0.074
0.665,0.971,0.501,0.673,0.266,0.02
1.521,1.241,0.544,0.722,0.086,0.127
1.212,1.394,0.539,0.835,0.251,0.215
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.33,1.367,0.609,0.456,0.202,0.122
1.603,1.411,0.5,0.93,0.142,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.046,1.172,0.439,0.602,0.366,0.033
1.857,1.366,0.511,0.626,0.272,0.34
0.979,0.676,0.292,0.571,0.151,0.116
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.115,1.072,0.341,0.613,0.189,0.062
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
0.836,0.787,0.214,0.607,0.234,0.269
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
0.633616745471954,0.75763601064682,0.458101123571396,0.386514395475388,0.117216013371944,0.118670783936977
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.089,0.352,0.468,0.373,0.118,0.172
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.684,1.699,0.592,0.702,0.031,0.123
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.798,1.491,0.567,0.533,0.101,0.157
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.867,1.143,0.75,0.597,0.289,0.329
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.475,1.043,0.442,0.652,0.038,0.071
1.315,1.151,0.64,0.606,0.087,0.078
0.367,0.511,0.21,0.384,0.465,0.123
1.413,1.285,0.286,1.085,0.088,0.095
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.289,0.682,0.554,0.328,0.147,0.046
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
0.95,0.405,0.355,0.431,0.13,0.146
1.2730610370636,1.45784497261047,0.975700080394745,0.525168657302856,0.373433440923691,0.322601646184921
1.324,1.191,0.568,0.247,0.091,0.2
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.122,0.249,0.513,0.775,0.14,0.167
1.376,1.074,0.788,0.509,0.208,0.119
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.374,1.269,0.372,0.639,0.275,0.045
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.032,1.181,0.449,0.924,0.14,0.043
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.98,1.46,0.39,0.557,0.21,0.172
1.423,1.062,0.757,0.58,0.34,0.306
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.32223522663116,1.43334770202637,0.986470460891724,0.650297701358795,0.27282789349556,0.442066371440887
1.766,1.17,0.413,1.109,0.161,0.112
0.990533411502838,1.13208067417145,0.86724853515625,0.601605117321014,0.079021044075489,0.117255553603172
1.908,1.52,0.699,0.823,0.204,0.548
1.232,1.146,0.441,0.826,0.099,0.136
1.304,1.14011859893799,0.5605,0.602,0.134,0.113
1.332,1.43,0.414,0.83,0.054,0.037
